"0","TEXT_BANMAM128_05288_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<hex:0249020103><hex:0248020103><hex:02100103>※本クエストは受注時のクラスでのみ進行します。<hex:02100103><hex:02100103>ゴクゴルマ農園のカゲージャは、飲み物の材料を求めているようだ。"
"1","TEXT_BANMAM128_05288_SEQ_01","カゲージャに依頼された品を納品"
"2","TEXT_BANMAM128_05288_SEQ_02",""
"3","TEXT_BANMAM128_05288_SEQ_03",""
"4","TEXT_BANMAM128_05288_SEQ_04",""
"5","TEXT_BANMAM128_05288_SEQ_05",""
"6","TEXT_BANMAM128_05288_SEQ_06",""
"7","TEXT_BANMAM128_05288_SEQ_07",""
"8","TEXT_BANMAM128_05288_SEQ_08",""
"9","TEXT_BANMAM128_05288_SEQ_09",""
"10","TEXT_BANMAM128_05288_SEQ_10",""
"11","TEXT_BANMAM128_05288_SEQ_11",""
"12","TEXT_BANMAM128_05288_SEQ_12",""
"13","TEXT_BANMAM128_05288_SEQ_13",""
"14","TEXT_BANMAM128_05288_SEQ_14",""
"15","TEXT_BANMAM128_05288_SEQ_15",""
"16","TEXT_BANMAM128_05288_SEQ_16",""
"17","TEXT_BANMAM128_05288_SEQ_17",""
"18","TEXT_BANMAM128_05288_SEQ_18",""
"19","TEXT_BANMAM128_05288_SEQ_19",""
"20","TEXT_BANMAM128_05288_SEQ_20",""
"21","TEXT_BANMAM128_05288_SEQ_21",""
"22","TEXT_BANMAM128_05288_SEQ_22",""
"23","TEXT_BANMAM128_05288_SEQ_23",""
"24","TEXT_BANMAM128_05288_TODO_00","<hex:0208F2016CE4E80511FF7002086CE3E802E803FF3BE6B097E79083E799BAE79D80E5A0B4E4BB98E8BF91E381AEE68EA1E68E98E5A0B4E381A702280AFF054974656DE8060103E38292E68EA1E68E98FF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FFF0F40208F0EFE4E80512FF76020872E3E802E803FF41E383A4E382AFE382A2E383AFE382AFE383BBE382BEE383A6E4BB98E8BF91E381AEE889AFE69CA8E381A702280AFF054974656DE8060103E38292E4BC90E68EA1FF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FF7302086FE4E80513FF67020863E3E802E803FF32E383A4E382AFE382A2E383AFE382AFE383BBE382BEE383A6E381A702280AFF054974656DE8060103E38292E987A3E3828BFF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FF010303>"
"25","TEXT_BANMAM128_05288_TODO_01",""
"26","TEXT_BANMAM128_05288_TODO_02",""
"27","TEXT_BANMAM128_05288_TODO_03",""
"28","TEXT_BANMAM128_05288_TODO_04",""
"29","TEXT_BANMAM128_05288_TODO_05",""
"30","TEXT_BANMAM128_05288_TODO_06",""
"31","TEXT_BANMAM128_05288_TODO_07",""
"32","TEXT_BANMAM128_05288_TODO_08",""
"33","TEXT_BANMAM128_05288_TODO_09",""
"34","TEXT_BANMAM128_05288_TODO_10",""
"35","TEXT_BANMAM128_05288_TODO_11",""
"36","TEXT_BANMAM128_05288_TODO_12",""
"37","TEXT_BANMAM128_05288_TODO_13",""
"38","TEXT_BANMAM128_05288_TODO_14",""
"39","TEXT_BANMAM128_05288_TODO_15",""
"40","TEXT_BANMAM128_05288_TODO_16",""
"41","TEXT_BANMAM128_05288_TODO_17",""
"42","TEXT_BANMAM128_05288_TODO_18",""
"43","TEXT_BANMAM128_05288_TODO_19",""
"44","TEXT_BANMAM128_05288_TODO_20",""
"45","TEXT_BANMAM128_05288_TODO_21",""
"46","TEXT_BANMAM128_05288_TODO_22",""
"47","TEXT_BANMAM128_05288_TODO_23",""
"48","TEXT_BANMAM128_05288_KAGEELJA_000_001","うーん、新しい野菜ジュースなら、<hex:02100103>彩りのいい野菜を選んで混ぜてみるとか……？<hex:02100103>混ぜるといえば、上の森の食材と組み合わせるのもいいかな……。"
"49","TEXT_BANMAM128_05288_KAGEELJA_000_002","うーん、野菜をすり潰すだけじゃなくて、<hex:02100103>布でこしたり、煮詰めて出汁をとってみたりしてもいいかな？"
"50","TEXT_BANMAM128_05288_KAGEELJA_000_003","名物料理になったティーカ・セルヴァースと合わせるなら……<hex:02100103>飲みやすく、かつコクが深い味にしたい。<hex:02100103>だとすると、温かいほうが嬉しいかな……？"
"51","TEXT_BANMAM128_05288_KAGEELJA_000_004","樹海の恵みサラダや、チャイチャの煮込みスープと合う味に……。<hex:02100103>なぜだか一部で人気のお鍋も風味が強いと聞くから、<hex:02100103>少しあっさりめに……それか、あえて刺激的な味でもいいかも？"
"52","TEXT_BANMAM128_05288_KAGEELJA_000_005","……っと、失礼。<hex:02100103>食事処で、新しい飲み物を振る舞いたくて、<hex:02100103>最近ずっと考えているんだよ。"
"53","TEXT_BANMAM128_05288_KAGEELJA_000_006","<hex:022C0DFF07022903EB0203FF02200203>さんにはぜひとも、<hex:02100103>飲み物の材料を調達してほしくて……。<hex:02100103>お手間をかけるけど、頼めるかな？"
"54","TEXT_BANMAM128_05288_KAGEELJA_000_007","お願いしたいのは、「<hex:02280BFF054974656DF2BBD10103>」。<hex:02100103>気球発着場の北あたりで採れる品で、<hex:02100103>冷やしても温めても、まろやかで美味しいんだって。"
"55","TEXT_BANMAM128_05288_KAGEELJA_000_008","ヤクアワク・ゾユの近くで採れる「<hex:02280BFF054974656DF2BBD20103>」をお願い。<hex:02100103>煎じ方がちょっと難しいけれど、<hex:02100103>その分風味が出て、美味しいお茶になるって聞いたんだ。"
"56","TEXT_BANMAM128_05288_KAGEELJA_000_009","ヤクアワク・ゾユで採れる「<hex:02280BFF054974656DF2BBD30103>」は、<hex:02100103>セノーテの恵みがたっぷり含まれていて濃厚なコクがあると聞く。<hex:02100103>でも、採るのが難しいから貴重な品でね。"
"57","TEXT_BANMAM128_05288_KAGEELJA_000_010","釣り餌に<hex:02280BFF054974656DF2AB490103>を使えば……<hex:02100103>腕のいい漁師ならば、うまいこと絡めとれるらしいよ。<hex:02100103>ぜひ使いたいから、採ってきてくれると嬉しいな。"
"58","TEXT_BANMAM128_05288_KAGEELJA_000_011","「<hex:02280BFF054974656DF2BBD10103>」の調達をお願いするよ。<hex:02100103>採れるのは上の森、気球発着場の北あたりだ。"
