"0","TEXT_BANMAM126_05286_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<hex:0249020103><hex:0248020103><hex:02100103>※本クエストは受注時のクラスでのみ進行します。<hex:02100103><hex:02100103>ゴクゴルマ農園のカゲージャは、調味料の素材を採ってきてほしいようだ。"
"1","TEXT_BANMAM126_05286_SEQ_01","カゲージャに依頼された品を納品"
"2","TEXT_BANMAM126_05286_SEQ_02",""
"3","TEXT_BANMAM126_05286_SEQ_03",""
"4","TEXT_BANMAM126_05286_SEQ_04",""
"5","TEXT_BANMAM126_05286_SEQ_05",""
"6","TEXT_BANMAM126_05286_SEQ_06",""
"7","TEXT_BANMAM126_05286_SEQ_07",""
"8","TEXT_BANMAM126_05286_SEQ_08",""
"9","TEXT_BANMAM126_05286_SEQ_09",""
"10","TEXT_BANMAM126_05286_SEQ_10",""
"11","TEXT_BANMAM126_05286_SEQ_11",""
"12","TEXT_BANMAM126_05286_SEQ_12",""
"13","TEXT_BANMAM126_05286_SEQ_13",""
"14","TEXT_BANMAM126_05286_SEQ_14",""
"15","TEXT_BANMAM126_05286_SEQ_15",""
"16","TEXT_BANMAM126_05286_SEQ_16",""
"17","TEXT_BANMAM126_05286_SEQ_17",""
"18","TEXT_BANMAM126_05286_SEQ_18",""
"19","TEXT_BANMAM126_05286_SEQ_19",""
"20","TEXT_BANMAM126_05286_SEQ_20",""
"21","TEXT_BANMAM126_05286_SEQ_21",""
"22","TEXT_BANMAM126_05286_SEQ_22",""
"23","TEXT_BANMAM126_05286_SEQ_23",""
"24","TEXT_BANMAM126_05286_TODO_00","<hex:0208F20178E4E80511FF76020872E3E802E803FF41E382A4E382AFE38396E383A9E383BCE382B7E383A3E4BB98E8BF91E381AEE68EA1E68E98E5A0B4E381A702280AFF054974656DE8060103E38292E68EA1E68E98FF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FFF0FA0208F0F5E4E80512FF76020872E3E802E803FF41E382A4E382AFE38396E383A9E383BCE382B7E383A3E4BB98E8BF91E381AEE88D89E58888E5A0B4E381A702280AFF054974656DE8060103E38292E88D89E58888FF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FF79020875E4E80513FF6D020869E3E802E803FF38E382B7E383A3E38380E383BCE382BFE383A9E38388E383BBE382BEE383A6E381A702280AFF054974656DE8060103E38292E987A3E3828BFF29E382ABE382B2E383BCE382B8E383A3E381AB02280AFF054974656DE8060103E38292E7B48DE5938103FF010303>"
"25","TEXT_BANMAM126_05286_TODO_01",""
"26","TEXT_BANMAM126_05286_TODO_02",""
"27","TEXT_BANMAM126_05286_TODO_03",""
"28","TEXT_BANMAM126_05286_TODO_04",""
"29","TEXT_BANMAM126_05286_TODO_05",""
"30","TEXT_BANMAM126_05286_TODO_06",""
"31","TEXT_BANMAM126_05286_TODO_07",""
"32","TEXT_BANMAM126_05286_TODO_08",""
"33","TEXT_BANMAM126_05286_TODO_09",""
"34","TEXT_BANMAM126_05286_TODO_10",""
"35","TEXT_BANMAM126_05286_TODO_11",""
"36","TEXT_BANMAM126_05286_TODO_12",""
"37","TEXT_BANMAM126_05286_TODO_13",""
"38","TEXT_BANMAM126_05286_TODO_14",""
"39","TEXT_BANMAM126_05286_TODO_15",""
"40","TEXT_BANMAM126_05286_TODO_16",""
"41","TEXT_BANMAM126_05286_TODO_17",""
"42","TEXT_BANMAM126_05286_TODO_18",""
"43","TEXT_BANMAM126_05286_TODO_19",""
"44","TEXT_BANMAM126_05286_TODO_20",""
"45","TEXT_BANMAM126_05286_TODO_21",""
"46","TEXT_BANMAM126_05286_TODO_22",""
"47","TEXT_BANMAM126_05286_TODO_23",""
"48","TEXT_BANMAM126_05286_KAGEELJA_000_001","マムークの人たちって、実は調味料の類に疎いんだ。<hex:02100103>これまで使われてたのは、辛水のセノーテ由来の塩だとか、<hex:02100103>ナジュール由来の甘味、あとは魚を発酵させたものくらいでさ。"
"49","TEXT_BANMAM126_05286_KAGEELJA_000_002","だから、トライヨラに出ていろんな味を体験した人にとっては、<hex:02100103>ちょっと物足りないと感じることもあるみたいだ。"
